Date/Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
16/12/2006/19:51:00,3.388,0.158,233.220,14.400,0.000,1.000,17.000
16/12/2006/23:20:00,1.222,0.046,241.580,6.600,0.000,0.000,0.000
17/12/2006/00:29:00,0.612,0.000,243.680,4.000,0.000,0.000,0.000
16/12/2006/20:35:00,3.226,0.078,233.370,13.800,0.000,0.000,16.000
16/12/2006/17:37:00,5.268,0.398,232.910,22.600,0.000,2.000,17.000
16/12/2006/19:23:00,3.334,0.000,234.360,14.200,0.000,2.000,17.000
16/12/2006/18:25:00,4.870,0.000,233.740,20.800,0.000,1.000,17.000
16/12/2006/20:30:00,3.262,0.076,234.540,13.800,0.000,0.000,17.000
17/12/2006/00:32:00,2.376,0.056,241.860,9.800,0.000,0.000,0.000
17/12/2006/00:22:00,0.276,0.000,240.560,1.200,0.000,0.000,0.000
17/12/2006/00:27:00,2.332,0.060,239.450,9.600,0.000,0.000,0.000
16/12/2006/18:18:00,4.472,0.000,233.290,19.200,0.000,1.000,16.000
16/12/2006/17:55:00,3.758,0.076,234.170,16.400,0.000,0.000,17.000
17/12/2006/00:48:00,0.930,0.000,242.940,5.600,0.000,0.000,0.000
17/12/2006/00:03:00,2.974,0.194,239.970,12.400,0.000,1.000,0.000
17/12/2006/00:36:00,0.388,0.104,242.580,1.600,0.000,0.000,0.000
16/12/2006/19:41:00,3.406,0.158,233.260,14.600,0.000,1.000,17.000
16/12/2006/21:12:00,3.044,0.072,236.230,13.200,0.000,0.000,17.000
16/12/2006/22:27:00,1.388,0.086,240.870,7.200,0.000,0.000,0.000
17/12/2006/01:22:00,3.130,0.130,239.820,14.600,0.000,26.000,0.000
16/12/2006/21:13:00,1.766,0.058,237.700,8.200,0.000,0.000,18.000
16/12/2006/19:17:00,3.406,0.000,233.910,14.400,0.000,2.000,17.000
16/12/2006/17:24:00,4.216,0.418,234.840,18.400,0.000,1.000,17.000
16/12/2006/18:15:00,4.598,0.100,234.250,21.400,0.000,20.000,17.000
17/12/2006/00:38:00,2.480,0.078,241.860,10.200,0.000,0.000,0.000
16/12/2006/21:52:00,3.482,0.170,236.400,14.600,0.000,1.000,17.000
16/12/2006/20:42:00,3.376,0.050,234.630,14.400,0.000,0.000,17.000
16/12/2006/22:59:00,2.444,0.094,239.420,10.200,0.000,0.000,0.000
17/12/2006/01:31:00,4.432,0.000,239.350,18.400,0.000,36.000,0.000
16/12/2006/21:22:00,2.542,0.068,238.170,11.400,0.000,0.000,18.000
17/12/2006/00:15:00,1.658,0.166,238.480,8.000,0.000,1.000,0.000
16/12/2006/18:50:00,2.496,0.080,233.920,10.600,0.000,3.000,17.000
16/12/2006/18:44:00,2.978,0.166,234.810,13.200,0.000,1.000,17.000
17/12/2006/00:56:00,0.952,0.062,241.500,5.600,0.000,0.000,0.000
16/12/2006/23:13:00,2.330,0.060,239.740,9.600,0.000,0.000,0.000
16/12/2006/22:46:00,1.846,0.054,239.990,8.400,0.000,0.000,0.000
16/12/2006/21:48:00,3.484,0.170,235.980,14.600,0.000,2.000,17.000
16/12/2006/22:00:00,3.464,0.170,236.030,14.600,0.000,1.000,17.000
16/12/2006/23:21:00,2.342,0.060,240.210,9.600,0.000,0.000,0.000
16/12/2006/17:57:00,4.512,0.000,233.620,19.200,0.000,0.000,17.000
16/12/2006/23:26:00,2.398,0.000,240.700,9.800,0.000,0.000,0.000
16/12/2006/22:32:00,2.202,0.074,240.070,9.600,0.000,0.000,0.000
16/12/2006/17:47:00,5.174,0.000,234.190,22.000,0.000,0.000,17.000
16/12/2006/22:06:00,3.112,0.000,236.080,13.400,0.000,1.000,17.000
16/12/2006/23:30:00,2.502,0.136,240.240,10.400,0.000,0.000,0.000
16/12/2006/21:53:00,3.480,0.170,236.460,14.600,0.000,2.000,17.000
16/12/2006/19:48:00,3.380,0.156,232.810,14.400,0.000,1.000,17.000
16/12/2006/19:03:00,3.434,0.090,232.010,14.800,0.000,1.000,16.000
17/12/2006/00:13:00,2.526,0.278,236.950,10.600,0.000,1.000,0.000
17/12/2006/01:23:00,1.756,0.050,241.180,7.600,0.000,24.000,0.000
16/12/2006/20:06:00,3.282,0.000,232.520,14.000,0.000,0.000,17.000
16/12/2006/20:20:00,3.302,0.000,232.690,14.200,0.000,0.000,16.000
16/12/2006/21:40:00,2.360,0.064,236.890,10.800,0.000,0.000,18.000
16/12/2006/21:35:00,1.872,0.000,238.480,8.600,0.000,0.000,18.000
16/12/2006/18:20:00,2.928,0.000,235.250,12.400,0.000,1.000,17.000
17/12/2006/00:19:00,2.396,0.056,239.030,10.000,0.000,1.000,0.000
16/12/2006/17:46:00,7.026,0.000,232.210,30.600,0.000,0.000,16.000
16/12/2006/17:53:00,3.178,0.000,235.280,13.400,0.000,0.000,17.000
16/12/2006/21:03:00,3.342,0.070,237.660,14.000,0.000,0.000,17.000
17/12/2006/00:39:00,2.454,0.074,240.760,10.200,0.000,0.000,0.000
16/12/2006/18:13:00,2.308,0.160,237.430,9.600,0.000,1.000,17.000
16/12/2006/19:11:00,3.414,0.000,234.190,14.400,0.000,1.000,17.000
16/12/2006/22:26:00,1.530,0.084,240.720,7.600,0.000,0.000,0.000
16/12/2006/21:47:00,3.502,0.172,236.460,14.800,0.000,1.000,18.000
16/12/2006/20:25:00,3.230,0.052,232.790,13.800,0.000,0.000,16.000
17/12/2006/01:18:00,3.840,0.164,238.270,16.600,0.000,35.000,0.000
17/12/2006/00:17:00,0.790,0.178,239.470,4.600,0.000,1.000,0.000
17/12/2006/00:16:00,0.422,0.184,239.790,1.800,0.000,2.000,0.000
16/12/2006/20:38:00,3.196,0.080,232.210,13.600,0.000,0.000,17.000
16/12/2006/23:42:00,2.370,0.058,241.480,9.800,0.000,0.000,0.000
16/12/2006/18:23:00,2.926,0.000,235.680,12.400,0.000,1.000,17.000
16/12/2006/19:08:00,3.476,0.092,234.600,14.800,0.000,3.000,17.000
16/12/2006/21:44:00,3.424,0.046,237.750,14.400,0.000,1.000,17.000
16/12/2006/19:55:00,3.202,0.078,232.200,13.800,0.000,0.000,16.000
17/12/2006/01:25:00,4.500,0.000,239.040,18.800,0.000,36.000,0.000
16/12/2006/17:36:00,5.224,0.478,232.990,22.400,0.000,1.000,16.000
17/12/2006/01:04:00,4.582,0.258,238.080,19.600,0.000,13.000,0.000
17/12/2006/00:26:00,2.354,0.058,240.640,9.800,0.000,0.000,0.000
17/12/2006/00:28:00,2.368,0.056,241.400,9.800,0.000,0.000,0.000
16/12/2006/18:07:00,6.474,0.144,231.850,27.800,0.000,37.000,16.000
16/12/2006/22:11:00,2.810,0.000,237.970,12.400,0.000,0.000,18.000
16/12/2006/18:35:00,6.072,0.000,232.480,26.400,0.000,27.000,17.000
17/12/2006/01:19:00,4.636,0.140,237.370,19.400,0.000,36.000,0.000
16/12/2006/20:48:00,3.440,0.148,235.130,14.600,0.000,0.000,17.000
17/12/2006/01:06:00,2.362,0.096,241.350,10.400,0.000,28.000,0.000
16/12/2006/18:03:00,3.740,0.108,236.930,16.400,0.000,16.000,18.000
17/12/2006/01:20:00,4.634,0.152,237.170,19.400,0.000,35.000,0.000
16/12/2006/22:33:00,2.430,0.070,239.770,10.000,0.000,0.000,0.000
17/12/2006/01:41:00,4.500,0.000,240.420,18.600,0.000,36.000,0.000
16/12/2006/19:52:00,3.376,0.156,232.840,14.400,0.000,1.000,17.000
16/12/2006/22:08:00,3.358,0.000,236.140,14.200,0.000,0.000,17.000
16/12/2006/23:27:00,2.444,0.072,240.110,10.200,0.000,0.000,0.000
16/12/2006/18:42:00,2.258,0.054,235.120,9.600,0.000,1.000,17.000
16/12/2006/21:21:00,3.412,0.056,236.940,14.400,0.000,0.000,17.000
16/12/2006/22:05:00,3.362,0.000,235.700,14.200,0.000,1.000,17.000
17/12/2006/00:55:00,0.356,0.070,242.130,1.400,0.000,0.000,0.000
16/12/2006/20:52:00,3.480,0.154,236.860,14.600,0.000,0.000,17.000
16/12/2006/19:10:00,3.400,0.000,234.280,14.400,0.000,1.000,17.000
16/12/2006/22:07:00,1.614,0.056,237.310,7.400,0.000,0.000,17.000
